time: 20.126962900161743  cost:1213 
time: 13.61585021018982  cost:1006 
time: 28.32154083251953  cost:1178 
time: 28.811564922332764  cost:1069 
time: 32.40334939956665  cost:1217 
time: 17.716901779174805  cost:1076 
time: 25.086617708206177  cost:1218 
time: 23.132195472717285  cost:1239 
time: 23.148168802261353  cost:1141 
time: 26.93022584915161  cost:1197 
time: 32.95024633407593  cost:1232 
time: 67.7468650341034  cost:1219 
time: 43.09669852256775  cost:1229 
NOT FOUND 
time: 29.49692678451538  cost:1138 
time: 25.661454916000366  cost:1181 
time: 9.00937271118164  cost:1010 
time: 16.739492893218994  cost:1076 
time: 20.73959732055664  cost:1100 
time: 139.6778872013092  cost:1174 
