time: 0.2616598606109619  cost:239 
time: 0.16544222831726074  cost:174 
time: 2.3815500736236572  cost:257 
time: 0.11344194412231445  cost:209 
time: 0.16996550559997559  cost:225 
time: 0.05633378028869629  cost:166 
time: 2.876406669616699  cost:308 
time: 0.11026978492736816  cost:238 
time: 0.13940167427062988  cost:240 
time: 0.09119462966918945  cost:212 
time: 4.5069849491119385  cost:276 
time: 0.17805957794189453  cost:240 
time: 0.28963756561279297  cost:270 
time: 0.17793726921081543  cost:187 
time: 0.15450477600097656  cost:229 
time: 0.15543103218078613  cost:171 
time: 0.18314075469970703  cost:175 
time: 0.08875727653503418  cost:190 
time: 0.6325798034667969  cost:199 
time: 0.1037752628326416  cost:211 
