time: 121.14058828353882  cost:1958 
time: 83.4064450263977  cost:1653 
time: 134.7711021900177  cost:1865 
time: 102.45384788513184  cost:1793 
time: 124.07330107688904  cost:1849 
time: 114.46353697776794  cost:1766 
time: 174.5243215560913  cost:1869 
time: 131.93622708320618  cost:1920 
time: 134.1716344356537  cost:1732 
time: 111.1442756652832  cost:1872 
time: 108.50523829460144  cost:1801 
time: 184.0801031589508  cost:1923 
time: 124.65723991394043  cost:1791 
NOT FOUND 
time: 90.22725486755371  cost:1879 
time: 97.53258013725281  cost:1748 
time: 56.55889129638672  cost:1634 
time: 80.24232745170593  cost:1692 
time: 151.0948235988617  cost:1701 
time: 83.82468962669373  cost:1901 
