Collision with: 11  |  Collision without: 12 
Collision with: 9  |  Collision without: 8 
Collision with: 6  |  Collision without: 12 
Collision with: 15  |  Collision without: 16 
Collision with: 18  |  Collision without: 8 
Collision with: 13  |  Collision without: 14 
Collision with: 19  |  Collision without: 19 
Collision with: 19  |  Collision without: 20 
Collision with: 15  |  Collision without: 14 
Collision with: 9  |  Collision without: 11 
Collision with: 16  |  Collision without: 24 
Collision with: 31  |  Collision without: 36 
Collision with: 20  |  Collision without: 25 
Collision with: 17  |  Collision without: 14 
Collision with: 33  |  Collision without: 28 
Collision with: 7  |  Collision without: 19 
Collision with: 15  |  Collision without: 19 
Collision with: 5  |  Collision without: 7 
Collision with: 24  |  Collision without: 13 
Collision with: 10  |  Collision without: 8  

312 | 327
