time: 0.2953059673309326  cost:241 
time: 0.2525298595428467  cost:176 
time: 1.867863655090332  cost:257 
time: 0.17917251586914062  cost:212 
time: 0.4482436180114746  cost:227 
time: 0.2525348663330078  cost:168 
time: 2.0066304206848145  cost:308 
time: 0.3223855495452881  cost:240 
time: 0.21369194984436035  cost:240 
time: 0.10001826286315918  cost:212 
time: 0.7346282005310059  cost:276 
time: 0.318467378616333  cost:246 
time: 0.5185699462890625  cost:272 
time: 0.14188766479492188  cost:193 
time: 0.19671869277954102  cost:231 
time: 0.15233135223388672  cost:174 
time: 0.10521411895751953  cost:175 
time: 0.08903241157531738  cost:190 
time: 0.18143010139465332  cost:203 
time: 0.4604356288909912  cost:213  
