time: 109.95735788345337  cost:1967 
time: 71.88853716850281  cost:1662 
time: 103.3629322052002  cost:1876 
time: 143.27757740020752  cost:1820 
time: 157.42864298820496  cost:1860 
time: 88.38308262825012  cost:1784 
time: 103.66637539863586  cost:1879 
time: 124.51434350013733  cost:1943 
time: 124.87694501876831  cost:1748 
time: 120.95655035972595  cost:1883 
time: 141.95898365974426  cost:1820 
NOT FOUND 
time: 175.89426231384277  cost:1820 
NOT FOUND 
time: 164.046560049057  cost:1899 
time: 127.64071273803711  cost:1780 
time: 54.896405935287476  cost:1649 
time: 69.06042790412903  cost:1705 
time: 161.5044960975647  cost:1734 
time: 168.08113551139832  cost:1932 
