time: 19.661744832992554  cost:1455 
time: 18.267969846725464  cost:1198 
time: 46.220831632614136  cost:1420 
time: 21.842462062835693  cost:1332 
time: 51.24583196640015  cost:1480 
time: 40.82551074028015  cost:1284 
time: 59.34302067756653  cost:1382 
time: 52.90758657455444  cost:1465 
time: 41.81874132156372  cost:1308 
time: 62.84674692153931  cost:1423 
time: 45.86014437675476  cost:1362 
time: 98.60261273384094  cost:1470 
time: 60.46396565437317  cost:1468 
NOT FOUND 
time: 24.077775716781616  cost:1388 
time: 27.025196075439453  cost:1334 
time: 48.40943765640259  cost:1223 
time: 30.134764909744263  cost:1250 
time: 31.257110595703125  cost:1308 
time: 50.29696464538574  cost:1392 
