time: 1.525719404220581  cost:674 
time: 1.9125990867614746  cost:573 
time: 3.993968963623047  cost:686 
time: 8.362023115158081  cost:661 
time: 2.00964617729187  cost:653 
time: 1.1369712352752686  cost:579 
time: 13.577476501464844  cost:740 
time: 6.808281898498535  cost:722 
time: 3.9219961166381836  cost:675 
time: 12.347902536392212  cost:699 
time: 5.094420909881592  cost:767 
time: 3.430560827255249  cost:738 
time: 3.1535282135009766  cost:757 
time: 2.054102659225464  cost:666 
time: 2.5845024585723877  cost:710 
time: 1.8417658805847168  cost:646 
time: 1.6432907581329346  cost:581 
time: 2.062175989151001  cost:597 
time: 1.5996119976043701  cost:567 
time: 6.970321178436279  cost:695  
