Collision with: 14  |  Collision without: 4 
Collision with: 11  |  Collision without: 5 
Collision with: 8  |  Collision without: 1 
Collision with: 10  |  Collision without: 3 
Collision with: 8  |  Collision without: 3 
Collision with: 3  |  Collision without: 7 
Collision with: 6  |  Collision without: 8 
Collision with: 11  |  Collision without: 4 
Collision with: 7  |  Collision without: 6 
Collision with: 8  |  Collision without: 9 
Collision with: 16  |  Collision without: 2 
Collision with: 14  |  Collision without: 7 
Collision with: 11  |  Collision without: 10 
Collision with: 6  |  Collision without: 8 
Collision with: 7  |  Collision without: 7 
Collision with: 13  |  Collision without: 5 
Collision with: 16  |  Collision without: 3 
Collision with: 8  |  Collision without: 4 
Collision with: 10  |  Collision without: 5 
Collision with: 9  |  Collision without: 5 
