Collision with: 2  |  Collision without: 1 
Collision with: 4  |  Collision without: 2 
Collision with: 4  |  Collision without: 0 
Collision with: 4  |  Collision without: 1 
Collision with: 2  |  Collision without: 5 
Collision with: 0  |  Collision without: 1 
Collision with: 2  |  Collision without: 2 
Collision with: 3  |  Collision without: 3 
Collision with: 3  |  Collision without: 1 
Collision with: 1  |  Collision without: 1 
Collision with: 1  |  Collision without: 2 
Collision with: 0  |  Collision without: 2 
Collision with: 2  |  Collision without: 1 
Collision with: 2  |  Collision without: 0 
Collision with: 1  |  Collision without: 2 
Collision with: 0  |  Collision without: 2 
Collision with: 0  |  Collision without: 6 
Collision with: 6  |  Collision without: 0 
Collision with: 5  |  Collision without: 2 
Collision with: 2  |  Collision without: 1 
