Collision with: 21  |  Collision without: 2 
Collision with: 10  |  Collision without: 3 
Collision with: 6  |  Collision without: 3 
Collision with: 5  |  Collision without: 7 
Collision with: 1  |  Collision without: 0 
Collision with: 7  |  Collision without: 7 
Collision with: 11  |  Collision without: 2 
Collision with: 11  |  Collision without: 4 
Collision with: 7  |  Collision without: 6 
Collision with: 20  |  Collision without: 5 
Collision with: 17  |  Collision without: 6 
Collision with: 17  |  Collision without: 4 
Collision with: 10  |  Collision without: 6 
Collision with: 13  |  Collision without: 8 
Collision with: 17  |  Collision without: 7 
Collision with: 17  |  Collision without: 5 
Collision with: 10  |  Collision without: 1 
Collision with: 18  |  Collision without: 5 
Collision with: 13  |  Collision without: 7 
