Collision with: 39  |  Collision without: 19 
Collision with: 39  |  Collision without: 18 
Collision with: 28  |  Collision without: 14 
Collision with: 25  |  Collision without: 18 
Collision with: 40  |  Collision without: 28 
Collision with: 21  |  Collision without: 26 
Collision with: 29  |  Collision without: 26 
Collision with: 18  |  Collision without: 16 
Collision with: 30  |  Collision without: 24 
Collision with: 37  |  Collision without: 18 
Collision with: 41  |  Collision without: 24 
Collision with: 47  |  Collision without: 16 
Collision with: 37  |  Collision without: 25 
Collision with: 57  |  Collision without: 21 
Collision with: 35  |  Collision without: 15 
Collision with: 39  |  Collision without: 17 
Collision with: 29  |  Collision without: 19 
Collision with: 31  |  Collision without: 27 
Collision with: 33  |  Collision without: 20 
