Collision with: 26  |  Collision without: 23 
Collision with: 25  |  Collision without: 24 
Collision with: 30  |  Collision without: 20 
Collision with: 26  |  Collision without: 21 
Collision with: 17  |  Collision without: 30 
Collision with: 23  |  Collision without: 16 
Collision with: 22  |  Collision without: 20 
Collision with: 33  |  Collision without: 17 
Collision with: 23  |  Collision without: 23 
Collision with: 16  |  Collision without: 20 
Collision with: 29  |  Collision without: 22 
Collision with: 40  |  Collision without: 24 
Collision with: 38  |  Collision without: 21 
Collision with: 20  |  Collision without: 19 
Collision with: 37  |  Collision without: 24 
Collision with: 24  |  Collision without: 26 
Collision with: 23  |  Collision without: 13 
Collision with: 34  |  Collision without: 22 
Collision with: 29  |  Collision without: 23 
Collision with: 21  |  Collision without: 26 
