Cost: 238  |  Time: 0.27266740798950195   
Cost: 174  |  Time: 0.1421518325805664   
Cost: 256  |  Time: 0.34241223335266113   
Cost: 209  |  Time: 0.4098532199859619   
Cost: 225  |  Time: 0.3843059539794922   
Cost: 166  |  Time: 0.0766751766204834   
Cost: 309  |  Time: 1.0783634185791016   
Cost: 238  |  Time: 0.2511451244354248   
Cost: 240  |  Time: 0.34381532669067383   
Cost: 212  |  Time: 0.5153558254241943   
Cost: 276  |  Time: 0.8379912376403809   
Cost: 240  |  Time: 0.648094892501831   
Cost: 270  |  Time: 0.44588732719421387   
Cost: 187  |  Time: 0.2686891555786133   
Cost: 229  |  Time: 0.29044294357299805   
Cost: 170  |  Time: 0.0747992992401123   
Cost: 172  |  Time: 0.10186052322387695   
Cost: 190  |  Time: 0.3777766227722168   
Cost: 199  |  Time: 0.43225789070129395   
Cost: 212  |  Time: 0.712273359298706   
