Cost: 239  |  Time: 0.2140352725982666   
Cost: 177  |  Time: 0.18370699882507324   
Cost: 256  |  Time: 0.5796363353729248   
Cost: 211  |  Time: 0.392122745513916   
Cost: 225  |  Time: 0.21754670143127441   
Cost: 167  |  Time: 0.1104128360748291   
Cost: 308  |  Time: 0.6700382232666016   
Cost: 239  |  Time: 0.4254641532897949   
Cost: 240  |  Time: 0.44165754318237305   
Cost: 212  |  Time: 0.2832603454589844   
Cost: 276  |  Time: 1.2218613624572754   
Cost: 246  |  Time: 0.7085912227630615   
Cost: 272  |  Time: 0.3934941291809082   
Cost: 194  |  Time: 0.23570704460144043   
Cost: 231  |  Time: 0.2973206043243408   
Cost: 172  |  Time: 0.10799479484558105   
Cost: 174  |  Time: 0.17693829536437988   
Cost: 190  |  Time: 0.19748663902282715   
Cost: 204  |  Time: 0.33010053634643555   
Cost: 211  |  Time: 0.3360135555267334   
