Cost: 456  |  Time: 0.6537301540374756   
Cost: 373  |  Time: 0.36495399475097656   
Cost: 414  |  Time: 0.5312097072601318   
Cost: 429  |  Time: 0.7271990776062012   
Cost: 430  |  Time: 0.5293972492218018   
Cost: 353  |  Time: 0.33539867401123047   
Cost: 525  |  Time: 1.0052194595336914   
Cost: 501  |  Time: 1.0473239421844482   
Cost: 452  |  Time: 0.46820688247680664   
Cost: 425  |  Time: 0.6056466102600098   
Cost: 512  |  Time: 1.4751968383789062   
Cost: 522  |  Time: 0.8394696712493896   
Cost: 525  |  Time: 0.658534049987793   
Cost: 428  |  Time: 0.48172450065612793   
Cost: 482  |  Time: 0.5107007026672363   
Cost: 406  |  Time: 0.5488040447235107   
Cost: 410  |  Time: 0.5278797149658203   
Cost: 408  |  Time: 0.8392839431762695   
Cost: 398  |  Time: 0.7338211536407471   
Cost: 462  |  Time: 1.0256297588348389   
