Cost: 1963  |  Time: 4.809837102890015   
Cost: 1640  |  Time: 1.880237102508545   
Cost: 1852  |  Time: 2.681220054626465   
Cost: 1785  |  Time: 3.182569742202759   
Cost: 1839  |  Time: 2.410738468170166   
Cost: 1767  |  Time: 2.6308553218841553   
Cost: 1860  |  Time: 3.2477517127990723   
Cost: 1915  |  Time: 2.734651803970337   
Cost: 1731  |  Time: 2.814476728439331   
Cost: 1852  |  Time: 2.8908519744873047   
Cost: 1806  |  Time: 3.5857696533203125   
Cost: 1913  |  Time: 3.9136061668395996   
Cost: 1789  |  Time: 2.5304548740386963   
Cost: 1875  |  Time: 2.591700553894043   
Cost: 1866  |  Time: 2.9416604042053223   
Cost: 1749  |  Time: 1.9963617324829102   
Cost: 1637  |  Time: 2.7001492977142334   
Cost: 1694  |  Time: 2.4298255443573   
Cost: 1691  |  Time: 2.135591745376587   
Cost: 1907  |  Time: 3.8197848796844482   
