Cost: 456  |  Time: 0.6712594032287598   
Cost: 371  |  Time: 0.3420848846435547   
Cost: 415  |  Time: 0.7740628719329834   
Cost: 426  |  Time: 0.7625851631164551   
Cost: 427  |  Time: 0.468414306640625   
Cost: 353  |  Time: 0.32408595085144043   
Cost: 525  |  Time: 1.0964808464050293   
Cost: 502  |  Time: 1.4772005081176758   
Cost: 452  |  Time: 0.6374549865722656   
Cost: 422  |  Time: 0.5591773986816406   
Cost: 512  |  Time: 1.9177813529968262   
Cost: 522  |  Time: 0.8243730068206787   
Cost: 523  |  Time: 1.1471316814422607   
Cost: 426  |  Time: 0.5827341079711914   
Cost: 479  |  Time: 0.8833799362182617   
Cost: 406  |  Time: 0.633234977722168   
Cost: 406  |  Time: 0.6966836452484131   
Cost: 406  |  Time: 0.8451583385467529   
Cost: 392  |  Time: 0.5159740447998047   
Cost: 460  |  Time: 1.0866789817810059   
