Cost: 930  |  Time: 1.499220609664917   
Cost: 752  |  Time: 0.8755316734313965   
Cost: 861  |  Time: 1.6527340412139893   
Cost: 814  |  Time: 1.6185626983642578   
Cost: 853  |  Time: 0.7241120338439941   
Cost: 825  |  Time: 1.167651891708374   
Cost: 999  |  Time: 2.4918830394744873   
Cost: 972  |  Time: 1.8854858875274658   
Cost: 914  |  Time: 1.7170822620391846   
Cost: 913  |  Time: 2.473207950592041   
Cost: 1001  |  Time: 3.070197820663452   
Cost: 948  |  Time: 1.7334282398223877   
Cost: 923  |  Time: 1.2862229347229004   
Cost: 911  |  Time: 1.0857367515563965   
Cost: 902  |  Time: 1.303035020828247   
Cost: 826  |  Time: 1.4309191703796387   
Cost: 712  |  Time: 0.8562307357788086   
Cost: 875  |  Time: 1.665818691253662   
Cost: 816  |  Time: 1.2126421928405762   
Cost: 941  |  Time: 1.9134221076965332   
