Cost: 1690  |  Time: 2.9341909885406494   
Cost: 1399  |  Time: 1.1382198333740234   
Cost: 1598  |  Time: 1.992004632949829   
Cost: 1570  |  Time: 2.4926035404205322   
Cost: 1661  |  Time: 3.900773763656616   
Cost: 1489  |  Time: 1.667989730834961   
Cost: 1636  |  Time: 2.113778829574585   
Cost: 1706  |  Time: 3.3274621963500977   
Cost: 1500  |  Time: 3.040365695953369   
Cost: 1632  |  Time: 2.735595941543579   
Cost: 1590  |  Time: 3.2051374912261963   
Cost: 1701  |  Time: 3.307856321334839   
Cost: 1648  |  Time: 2.4575424194335938   
Cost: 1650  |  Time: 2.2852766513824463   
Cost: 1588  |  Time: 2.071528196334839   
Cost: 1520  |  Time: 2.1719698905944824   
Cost: 1426  |  Time: 2.037813663482666   
Cost: 1476  |  Time: 2.342042922973633   
Cost: 1496  |  Time: 2.0876901149749756   
Cost: 1654  |  Time: 2.0609545707702637   
