Cost: 673  |  Time: 1.0550966262817383   
Cost: 570  |  Time: 0.5444202423095703   
Cost: 685  |  Time: 1.2883045673370361   
Cost: 664  |  Time: 3.554872512817383   
Cost: 650  |  Time: 0.7225058078765869   
Cost: 578  |  Time: 0.5075969696044922   
Cost: 737  |  Time: 1.1778547763824463   
Cost: 722  |  Time: 3.2050905227661133   
Cost: 671  |  Time: 0.7872779369354248   
Cost: 695  |  Time: 1.1913907527923584   
Cost: 762  |  Time: 1.8943421840667725   
Cost: 738  |  Time: 1.2022879123687744   
Cost: 757  |  Time: 1.1969091892242432   
Cost: 668  |  Time: 0.8016626834869385   
Cost: 704  |  Time: 1.319000005722046   
Cost: 645  |  Time: 0.7810986042022705   
Cost: 573  |  Time: 0.7329390048980713   
Cost: 597  |  Time: 0.8307363986968994   
Cost: 564  |  Time: 0.883967399597168   
Cost: 691  |  Time: 2.431039571762085   
