Collision with: 34  |  Collision without: 19 
Collision with: 40  |  Collision without: 18 
Collision with: 26  |  Collision without: 14 
Collision with: 27  |  Collision without: 18 
Collision with: 18  |  Collision without: 26 
Collision with: 42  |  Collision without: 16 
Collision with: 29  |  Collision without: 26 
Collision with: 26  |  Collision without: 16 
Collision with: 37  |  Collision without: 24 
Collision with: 37  |  Collision without: 18 
Collision with: 34  |  Collision without: 24 
Collision with: 43  |  Collision without: 16 
Collision with: 57  |  Collision without: 21 
Collision with: 33  |  Collision without: 15 
Collision with: 40  |  Collision without: 17 
Collision with: 29  |  Collision without: 19 
Collision with: 32  |  Collision without: 27 
Collision with: 33  |  Collision without: 20 
