time: 5.270599603652954  cost:933 
time: 2.3940234184265137  cost:755 
time: 6.425177812576294  cost:863 
time: 11.371024370193481  cost:819 
time: 4.122364044189453  cost:855 
time: 2.2060141563415527  cost:829 
time: 26.429106950759888  cost:1010 
time: 11.355905771255493  cost:981 
time: 7.010401487350464  cost:923 
time: 8.222236633300781  cost:923 
time: 27.153548002243042  cost:1005 
time: 8.746702909469604  cost:952 
time: 13.042309284210205  cost:937 
time: 6.533046722412109  cost:917 
time: 4.091240167617798  cost:911 
time: 5.972317218780518  cost:836 
time: 4.879834413528442  cost:725 
time: 5.51536226272583  cost:880 
time: 4.664180278778076  cost:829 
time: 13.548202276229858  cost:954 
