time: 2.957362174987793  cost:680 
time: 8.77104902267456  cost:584 
time: 3.690058946609497  cost:690 
time: 23.131454944610596  cost:674 
time: 4.0656821727752686  cost:674 
time: 86.63194608688354  cost:615 
time: 9.889572143554688  cost:754 
time: 15.347667217254639  cost:735 
time: 4.1098713874816895  cost:681 
time: 8.107563495635986  cost:700 
time: 14.708207368850708  cost:775 
time: 18.063791036605835  cost:749 
time: 6.981531143188477  cost:770 
time: 3.444190740585327  cost:677 
time: 3.5567820072174072  cost:712 
time: 4.6709325313568115  cost:666 
time: 2.8707289695739746  cost:590 
time: 9.009268999099731  cost:616 
time: 5.573988676071167  cost:591 
time: 4.902630090713501  cost:700 
