time: 0.3246150016784668  cost:241 
time: 0.22229409217834473  cost:176 
time: 2.032947063446045  cost:259 
time: 0.20939230918884277  cost:214 
time: 0.3673715591430664  cost:229 
time: 0.22832298278808594  cost:168 
time: 2.5008862018585205  cost:310 
time: 4.54146146774292  cost:248 
time: 3.6272945404052734  cost:250 
time: 0.2134716510772705  cost:220 
time: 0.43811488151550293  cost:280 
time: 0.3073749542236328  cost:246 
time: 0.6680965423583984  cost:276 
time: 0.15630245208740234  cost:193 
time: 0.4174313545227051  cost:233 
NOT FOUND 
time: 0.35309362411499023  cost:179 
time: 0.09012508392333984  cost:192 
time: 0.51639723777771  cost:209 
time: 0.2950000762939453  cost:213 
