time: 52.586127042770386  cost:1695 
time: 48.11562776565552  cost:1405 
time: 60.76386785507202  cost:1610 
time: 56.879130601882935  cost:1576 
time: 96.81520318984985  cost:1665 
time: 46.660629749298096  cost:1491 
time: 105.04330611228943  cost:1648 
time: 109.63183498382568  cost:1708 
time: 80.2662889957428  cost:1498 
time: 59.35158681869507  cost:1638 
time: 74.00969529151917  cost:1583 
time: 121.32076120376587  cost:1703 
time: 69.0897057056427  cost:1645 
time: 58.99800729751587  cost:1654 
time: 41.94960832595825  cost:1594 
time: 52.18882489204407  cost:1519 
time: 32.8980872631073  cost:1429 
time: 43.41159415245056  cost:1482 
time: 57.96379089355469  cost:1499 
time: 51.55079531669617  cost:1659 
