time: 25.879558801651  cost:1446 
time: 17.918233156204224  cost:1187 
time: 41.23973846435547  cost:1412 
time: 20.105124950408936  cost:1325 
time: 38.32376313209534  cost:1454 
time: 20.625885486602783  cost:1275 
time: 59.681391954422  cost:1377 
time: 33.580944776535034  cost:1439 
time: 27.578524351119995  cost:1300 
time: 18.111911296844482  cost:1413 
time: 20.286812782287598  cost:1349 
time: 74.20968174934387  cost:1456 
time: 55.1185348033905  cost:1460 
time: 19.605497360229492  cost:1406 
time: 14.349096775054932  cost:1369 
time: 25.129482746124268  cost:1320 
time: 28.218931436538696  cost:1210 
time: 22.793366193771362  cost:1244 
time: 21.039198637008667  cost:1298 
time: 22.84542226791382  cost:1379 
